source,target,type,ligne,distance_m
houilles carrieres sur seine_RER A 1,houilles carrieres sur seine_RER A 5,correspondance,,0.0
nanterre prefecture_RER A 1,grande arche de la defense_RER A 1,adjacence,RER A 1,1086.8776425273693
nanterre prefecture_RER A 1,nanterre prefecture_RER A 2,correspondance,,0.0
nanterre prefecture_RER A 1,nanterre prefecture_RER A 3,correspondance,,0.0
nanterre prefecture_RER A 1,nanterre prefecture_RER A 4,correspondance,,0.0
nanterre prefecture_RER A 1,nanterre prefecture_RER A 5,correspondance,,0.0
nanterre prefecture_RER A 1,nanterre prefecture_RER A 6,correspondance,,0.0
grande arche de la defense_RER A 1,grande arche de la defense_RER A 1,correspondance,,0.0
grande arche de la defense_RER A 1,arc de triomphe_RER A 1,adjacence,RER A 1,4596.3257976871555
grande arche de la defense_RER A 1,grande arche de la defense_RER A 2,correspondance,,0.0
grande arche de la defense_RER A 1,grande arche de la defense_RER A 3,correspondance,,0.0
grande arche de la defense_RER A 1,grande arche de la defense_RER A 4,correspondance,,0.0
grande arche de la defense_RER A 1,grande arche de la defense_RER A 5,correspondance,,0.0
grande arche de la defense_RER A 1,grande arche de la defense_RER A 6,correspondance,,0.0
arc de triomphe_RER A 1,arc de triomphe_RER A 1,correspondance,,0.0
arc de triomphe_RER A 1,auber_RER A 1,adjacence,RER A 1,2537.467905461203
arc de triomphe_RER A 1,arc de triomphe_RER A 2,correspondance,,0.0
arc de triomphe_RER A 1,arc de triomphe_RER A 3,correspondance,,0.0
arc de triomphe_RER A 1,arc de triomphe_RER A 4,correspondance,,0.0
arc de triomphe_RER A 1,arc de triomphe_RER A 5,correspondance,,0.0
arc de triomphe_RER A 1,arc de triomphe_RER A 6,correspondance,,0.0
arc de triomphe_RER A 1,arc de triomphe_METRO 1,correspondance,,0.0
arc de triomphe_RER A 1,arc de triomphe_METRO 2,correspondance,,0.0
arc de triomphe_RER A 1,arc de triomphe_METRO 6,correspondance,,0.0
auber_RER A 1,chatelet_RER A 1,adjacence,RER A 1,1854.7740148880805
auber_RER A 1,auber_RER A 2,correspondance,,0.0
auber_RER A 1,auber_RER A 3,correspondance,,0.0
auber_RER A 1,auber_RER A 4,correspondance,,0.0
auber_RER A 1,auber_RER A 5,correspondance,,0.0
auber_RER A 1,auber_RER A 6,correspondance,,0.0
chatelet_RER A 1,chatelet_RER A 1,correspondance,,0.0
chatelet_RER A 1,gare de lyon_RER A 1,adjacence,RER A 1,2307.158396462238
chatelet_RER A 1,chatelet_RER A 2,correspondance,,0.0
chatelet_RER A 1,chatelet_RER A 3,correspondance,,0.0
chatelet_RER A 1,chatelet_RER A 4,correspondance,,0.0
chatelet_RER A 1,chatelet_RER A 5,correspondance,,0.0
chatelet_RER A 1,chatelet_RER A 6,correspondance,,0.0
chatelet_RER A 1,chatelet_RER B 1,correspondance,,0.0
chatelet_RER A 1,chatelet_RER B 2,correspondance,,0.0
chatelet_RER A 1,chatelet_RER B 3,correspondance,,0.0
chatelet_RER A 1,chatelet_RER B 4,correspondance,,0.0
chatelet_RER A 1,chatelet_METRO 1,correspondance,,0.0
chatelet_RER A 1,chatelet_METRO 4,correspondance,,0.0
chatelet_RER A 1,chatelet_METRO 7 1,correspondance,,0.0
chatelet_RER A 1,chatelet_METRO 7 2,correspondance,,0.0
chatelet_RER A 1,chatelet_METRO 11,correspondance,,0.0
chatelet_RER A 1,chatelet_METRO 14,correspondance,,0.0
gare de lyon_RER A 1,gare de lyon_RER A 1,correspondance,,0.0
gare de lyon_RER A 1,nation_RER A 1,adjacence,RER A 1,1722.0700380053934
gare de lyon_RER A 1,gare de lyon_RER A 2,correspondance,,0.0
gare de lyon_RER A 1,gare de lyon_RER A 3,correspondance,,0.0
gare de lyon_RER A 1,gare de lyon_RER A 4,correspondance,,0.0
gare de lyon_RER A 1,gare de lyon_RER A 5,correspondance,,0.0
gare de lyon_RER A 1,gare de lyon_RER A 6,correspondance,,0.0
gare de lyon_RER A 1,gare de lyon_METRO 1,correspondance,,0.0
gare de lyon_RER A 1,gare de lyon_METRO 14,correspondance,,0.0
nation_RER A 1,nation_RER A 1,correspondance,,0.0
nation_RER A 1,bois de vincennes_RER A 1,adjacence,RER A 1,3312.7176008271235
nation_RER A 1,nation_RER A 2,correspondance,,0.0
nation_RER A 1,nation_RER A 3,correspondance,,0.0
nation_RER A 1,nation_RER A 4,correspondance,,0.0
nation_RER A 1,nation_RER A 5,correspondance,,0.0
nation_RER A 1,nation_RER A 6,correspondance,,0.0
nation_RER A 1,nation_METRO 1,correspondance,,0.0
nation_RER A 1,nation_METRO 2,correspondance,,0.0
nation_RER A 1,nation_METRO 6,correspondance,,0.0
nation_RER A 1,nation_METRO 9,correspondance,,0.0
bois de vincennes_RER A 1,bois de vincennes_RER A 1,correspondance,,0.0
bois de vincennes_RER A 1,val de fontenay_RER A 1,adjacence,RER A 1,2314.077378926344
bois de vincennes_RER A 1,bois de vincennes_RER A 2,correspondance,,0.0
bois de vincennes_RER A 1,bois de vincennes_RER A 3,correspondance,,0.0
bois de vincennes_RER A 1,bois de vincennes_RER A 4,correspondance,,0.0
bois de vincennes_RER A 1,bois de vincennes_RER A 5,correspondance,,0.0
bois de vincennes_RER A 1,bois de vincennes_RER A 6,correspondance,,0.0
bois de vincennes_RER A 1,bois de vincennes_METRO 1,correspondance,,0.0
val de fontenay_RER A 1,val de fontenay_RER A 1,correspondance,,0.0
val de fontenay_RER A 1,nogent sur marne_RER A 1,adjacence,RER A 1,2565.98090049678
val de fontenay_RER A 1,val de fontenay_RER A 2,correspondance,,0.0
val de fontenay_RER A 1,val de fontenay_RER A 3,correspondance,,0.0
val de fontenay_RER A 1,val de fontenay_RER A 4,correspondance,,0.0
val de fontenay_RER A 1,val de fontenay_RER A 5,correspondance,,0.0
val de fontenay_RER A 1,val de fontenay_RER A 6,correspondance,,0.0
val de fontenay_RER A 1,val de fontenay_RER D 1,correspondance,,0.0
val de fontenay_RER A 1,val de fontenay_RER D 2,correspondance,,0.0
val de fontenay_RER A 1,val de fontenay_RER D 3,correspondance,,0.0
val de fontenay_RER A 1,val de fontenay_RER D 4,correspondance,,0.0
val de fontenay_RER A 1,val de fontenay_RER D 5,correspondance,,0.0
nogent sur marne_RER A 1,joinville le pont_RER A 1,adjacence,RER A 1,1581.5298966993591
nogent sur marne_RER A 1,nogent sur marne_RER A 2,correspondance,,0.0
nogent sur marne_RER A 1,nogent sur marne_RER A 3,correspondance,,0.0
nogent sur marne_RER A 1,nogent sur marne_RER D 1,correspondance,,0.0
nogent sur marne_RER A 1,nogent sur marne_RER D 2,correspondance,,0.0
nogent sur marne_RER A 1,nogent sur marne_RER D 3,correspondance,,0.0
